Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
24600;166591;20;0;0;0;0;.00nan;0;0
24600;183783;20;58;29;3;26;.897;3600000;0
24600;197038;33;100;46;0;46;1.000;3600000;0
24601;162029;4182;0;0;0;0;.00nan;0;0
24601;172340;4182;77;27;2;25;.926;4200000;0
24601;174718;12;0;0;0;0;.00nan;0;0
24601;85798;12;92;42;2;40;.952;4178000;0
24602;179154;26;70;26;3;23;.885;4060000;0
24602;175084;22;0;0;0;0;.00nan;0;0
24602;184770;22;59;33;4;29;.879;4061000;0
24602;152835;26;0;0;0;0;.00nan;0;0
24603;320;21;0;0;0;0;.00nan;0;0
24603;3284;21;66;27;3;24;.889;3600000;0
24603;13714;8;50;28;4;24;.857;3578000;0
24603;58830;8;0;0;0;0;.00nan;0;0
24604;187537;19;84;41;3;38;.927;3700000;0
24604;178384;19;0;0;0;0;.00nan;0;0
24604;184229;35;0;0;0;0;.00nan;0;0
24604;57338;35;49;26;4;22;.846;3687000;0
24605;170977;30;68;26;2;24;.923;2845000;0
24605;175912;14;0;0;0;0;.00nan;0;0
24605;185034;14;33;27;5;22;.815;3868000;0
24605;86697;30;26;16;4;12;.750;1023000;0
24606;167642;18;0;0;0;0;.00nan;0;0
24606;173727;18;100;23;0;23;1.000;3600000;0
24606;175092;9;0;0;0;0;.00nan;0;0
24606;190106;9;68;35;4;31;.886;3600000;0
24607;183859;23;0;0;0;0;.00nan;0;0
24607;-1;5;60;18;2;16;.889;3600000;0
24607;61425;5;0;0;0;0;.00nan;0;0
24607;78573;23;76;36;3;33;.917;3577000;0
24608;175092;9;91;46;3;43;.935;3574000;0
24608;190106;9;0;0;0;0;.00nan;0;0
24608;196090;4838;44;8;2;6;.750;3600000;0
24608;185743;4838;0;0;0;0;.00nan;0;0
24609;77955;28;92;30;1;29;.967;3600000;0
24609;85437;28;0;0;0;0;.00nan;0;0
24609;139409;3;61;27;3;24;.889;3525000;0
24609;148958;3;0;0;0;0;.00nan;0;0
24610;166646;0;0;0;0;0;.00nan;0;0
24610;3928;15;100;20;0;20;1.000;3600000;0
