Game Id;Date Year;Date Month;Date Day;Arena;Attendance;Team Home;Team Away;Score Home;Score Away;Score Home P1;Score Home P2;Score Home P3;Score Home OT;Score Home SO;Score Away P1;Score Away P2;Score Away P3;Score Away OT;Score Away SO;Star 1;Star 2;Star 3;Shots Home;Shots Away;PIM Home;PIM Away;Hits Home;Hits Away;GA Home;GA Away;TA Home;TA Away;FOW Home;FOW Away;SOG Home P1;SOG Home P2;SOG Home P3;SOG Home OT;SOG Away P1;SOG Away P2;SOG Away P3;SOG Away OT;PPG Home;PPO Home;PPG Away;PPO Away;Type;SQ0 Home;SQ1 Home;SQ2 Home;SQ3 Home;SQ4 Home;SQ0 Away;SQ1 Away;SQ2 Away;SQ3 Away;SQ4 Away
64;2033;10;8;Scotiabank Arena;17099;3;5;1;3;1;0;0;0;0;0;0;3;0;0;85789;54289;364;63;61;8;4;24;14;7;5;7;6;26;31;14;15;6;0;6;14;7;0;0;2;1;4;Regular Season;12;25;13;11;2;9;26;17;5;4
65;2033;10;8;American Airlines Center;18049;12;19;3;1;0;3;0;0;0;0;1;0;0;0;75852;77070;43756;50;54;4;10;32;19;3;5;3;7;26;29;9;9;8;0;7;11;3;0;1;5;1;2;Regular Season;4;24;8;11;3;11;19;17;3;4
66;2033;10;8;Bell Centre;21273;0;22;3;1;1;1;1;0;0;1;0;0;0;0;1302;86297;91178;50;62;12;6;35;20;5;7;4;5;25;32;9;10;8;0;19;10;9;0;1;3;0;6;Regular Season;8;23;8;9;2;5;39;8;7;3
67;2033;10;8;Amalie Arena;10412;29;23;2;5;1;0;1;0;0;0;1;4;0;0;58247;74741;490;52;54;4;8;7;12;5;8;7;7;36;33;9;8;10;0;7;9;12;0;0;4;1;2;Regular Season;5;28;10;8;1;8;19;11;11;5
68;2033;10;8;KeyBank Center;14766;17;20;2;5;0;1;1;0;0;3;2;0;0;0;23067;14303;15297;53;67;4;8;31;22;5;6;5;6;26;37;7;8;5;0;12;17;16;0;0;4;1;2;Regular Season;10;19;16;7;1;7;28;12;15;5
69;2033;10;8;FLA Live Arena;10747;31;28;7;0;2;4;1;0;0;0;0;0;0;0;58824;77073;937;67;56;20;8;18;32;7;6;6;6;32;27;19;23;8;0;14;4;7;0;2;4;0;5;Regular Season;4;31;14;15;3;14;22;10;8;2
70;2033;10;8;Ball Arena;13356;25;4838;5;0;2;2;1;0;0;0;0;0;0;0;2949;29596;152645;53;49;2;14;20;15;3;3;4;5;26;19;7;11;14;0;4;5;4;0;2;2;0;1;Regular Season;5;22;17;7;2;13;17;12;6;1
71;2033;10;8;New Tempe Arena;8287;26;34;2;3;0;1;1;0;0;2;0;0;1;0;44115;29677;37023;55;74;0;2;22;20;5;6;6;4;25;20;2;16;7;1;23;14;8;3;0;1;0;0;Regular Season;11;26;8;7;3;5;35;17;13;4
72;2033;10;8;Enterprise Center;20035;16;14;3;4;1;1;1;0;0;0;3;1;0;0;129;31432;35327;55;43;8;6;23;18;3;4;4;8;30;27;12;10;12;0;3;10;7;0;0;3;2;4;Regular Season;8;22;14;10;1;7;17;10;7;2
73;2033;10;8;Canada Life Centre;9386;33;11;5;1;0;4;1;0;0;0;0;1;0;0;564;20694;17910;60;56;4;10;25;13;7;9;6;4;22;35;9;10;17;0;11;11;9;0;3;5;0;2;Regular Season;9;24;11;10;6;13;22;8;10;3
