TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
34;38;116;104;1294;1104;50.1;535;710;211;287;0;7.42;98;25;5;101;15;4;284445;272699;14222;15149;0;3;74
35;39;107;102;1145;1239;48.9;626;960;244;207;0;8.92;109;24;1;136;28;1;246017;265471;12300;13972;0;2;61
36;29;104;80;1076;867;52.8;425;612;159;154;0;10.59;131;32;3;108;22;2;45769;56821;2860;4370;0;0;46
37;31;94;97;1101;955;51.8;446;659;173;155;0;14.74;120;17;1;144;33;7;143501;100189;11038;5566;0;0;72
38;35;106;89;1128;966;50.2;478;718;193;190;0;15.60;155;26;1;145;23;1;146515;75496;7325;5033;0;0;61
39;31;108;75;1128;774;48.2;433;650;175;172;0;12.55;171;33;4;134;17;1;137174;69067;7620;5312;0;0;68
40;35;83;117;919;1362;48.1;681;771;167;193;0;12.03;169;29;5;166;34;1;130541;90986;7678;5054;0;0;40
41;31;61;111;794;1039;51.6;502;639;176;203;0;12.48;148;13;3;143;25;3;74257;70618;4950;4413;0;0;52
42;31;103;58;1296;674;52.7;311;555;171;164;0;13.55;179;31;3;153;20;3;44257;105440;2950;6590;0;0;51
43;32;128;48;1367;703;51.9;338;657;173;202;0;13.41;157;34;1;134;11;3;118547;90013;7903;5294;0;0;79
44;32;95;105;1029;1029;50.6;488;584;131;134;0;11.72;152;23;4;146;22;4;69200;94849;4070;6323;0;0;55
45;32;81;81;898;1106;48.5;535;686;194;203;0;10.50;145;22;3;116;21;0;51795;90373;2877;6455;0;0;42
46;29;82;89;852;967;48.8;422;612;162;164;0;12.07;146;21;0;124;22;4;131104;76375;8194;5875;0;0;76
47;31;114;77;1066;920;48.9;438;620;158;153;0;16.26;169;39;1;170;22;3;75060;81745;4691;5449;0;0;53
48;33;73;137;875;1280;45.2;595;598;209;171;0;12.58;154;27;2;156;35;2;40202;100427;2233;6695;0;0;40
49;32;67;118;730;1257;48.4;676;622;153;157;0;12.78;165;19;1;153;43;2;65611;105651;4686;5869;0;0;49
50;31;102;79;1048;845;50.7;428;593;169;174;0;13.00;124;33;1;130;19;3;89035;121046;6359;7120;0;0;42
