Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
55;2;155;165214;31424;169476;16;ES;3
55;2;478;34741;13921;33157;27;ES;1
55;2;798;148519;846;75265;16;ES;2
55;2;1009;13921;31467;20818;27;ES;3
55;3;25;79273;20818;31467;27;ES;1
55;3;928;165214;18206;169476;16;ES;3
55;3;966;78803;82;;27;ES;3
56;1;562;3177;91644;165314;35;PP;3
56;1;720;20359;5501;14839;12;ES;2
56;1;884;14785;62256;66250;12;PP;1
56;1;913;43756;82736;;12;ES;3
56;2;892;42154;57886;79107;35;PP;1
57;2;100;13279;14137;85759;4838;ES;1
57;2;270;59177;74743;32962;32;ES;2
57;2;418;13279;65145;85759;4838;ES;3
57;2;714;173872;66828;;4838;ES;3
57;3;436;66828;85759;15856;4838;PP;2
57;3;707;47116;15810;91653;32;PP;2
57;3;951;7319;85759;14137;4838;ES;4
58;1;94;4292;166556;29677;26;ES;2
58;2;694;58832;18330;77070;19;ES;1
58;3;368;86280;85130;79250;19;ES;2
59;1;470;33862;170308;28252;15;ES;2
59;1;1073;15909;85906;31087;15;ES;2
59;2;49;146381;33862;86095;15;ES;4
59;2;548;74729;11750;161392;4182;PP;1
59;2;844;75198;86095;28252;15;ES;4
59;2;911;78488;146381;;15;ES;3
59;3;211;74943;9488;161392;4182;ES;2
59;3;982;33862;85680;86095;15;ES;4
59;3;1087;33862;75198;86095;15;ES;2
60;1;480;18214;5326;1132;8;ES;3
60;1;975;77072;3183;;25;ES;1
60;1;1018;11983;78463;558;8;ES;3
60;1;1188;38057;36804;11983;8;PP;3
60;2;814;29596;91382;;25;ES;4
60;2;1021;143407;152645;86137;25;ES;2
60;3;719;558;11983;78463;8;ES;1
61;1;171;79103;36696;;11;ES;4
61;1;918;91727;57824;78680;9;ES;3
61;2;572;4814;20;169132;9;ES;2
61;3;819;86055;44514;36096;9;ES;4
61;3;841;86055;36096;;9;ES;1
61;3;1090;36096;20;;9;ES;1
62;1;73;37584;84975;163713;30;ES;1
62;2;582;84975;34723;37584;30;ES;1
62;2;711;79102;143666;84952;14;ES;3
62;3;20;129;708;85790;14;ES;1
62;3;838;36145;31472;86340;30;ES;2
63;1;31;675;64889;164664;10;ES;4
63;2;227;675;164664;;10;PP;1
63;2;879;3133;75279;;10;PP;4
63;2;1090;175883;167030;79023;10;SH;4
63;3;498;84958;18980;238;10;PP;1
63;3;546;167030;79023;58391;10;ES;3
63;3;683;3646;12641;78568;22;PP;3
63;3;897;59171;86297;;22;ES;4
64;1;295;54289;18992;16544;3;ES;3
64;3;192;85789;44163;;5;PP;1
64;3;664;364;11770;;5;ES;4
64;3;825;13304;57335;;5;ES;1
65;2;185;14785;62256;;12;PP;2
65;2;589;5501;43756;;12;ES;3
65;2;789;75852;66250;91214;12;SH;3
65;2;836;77070;86280;59607;19;PP;3
66;1;292;85003;85244;84983;0;ES;3
66;1;437;86297;78568;75117;22;ES;4
66;2;279;1302;91655;19695;0;PP;1
66;3;1183;1302;85003;168246;0;ES, ENG;1
67;1;191;62282;77091;91662;29;ES;3
67;2;963;74721;74667;141696;23;ES;2
67;3;104;74845;91662;78571;29;ES;1
67;3;236;490;74741;58247;23;ES;4
67;3;664;57151;74676;58247;23;PP;3
67;3;837;44539;85121;84969;23;ES;3
67;3;883;74741;58247;72;23;ES;2
68;1;81;18207;74858;14303;20;ES;3
68;1;404;58002;15297;23067;20;ES;1
68;1;1043;59185;15297;23067;20;PP;4
68;2;72;23067;58002;15297;20;ES;1
68;2;280;43826;183694;148060;17;ES;2
68;2;868;143375;14303;23067;20;ES;3
68;3;749;75405;143348;;17;ES;1
69;1;414;91652;58824;31076;31;ES;1
69;1;691;91652;58824;;31;ES;4
69;2;238;13164;6886;77073;31;ES;2
69;2;437;74661;31076;937;31;ES;3
69;2;474;170904;179118;;31;ES;1
69;2;1056;937;58824;77073;31;PP;3
69;3;19;77073;58824;85788;31;PP;1
70;1;136;38274;29596;2949;25;PP;1
70;1;496;29596;2949;;25;ES;4
70;2;89;146874;167046;2949;25;ES;2
70;2;186;143407;79114;78185;25;ES;2
70;3;841;152645;13153;29596;25;PP;2
71;1;809;44115;24230;;34;ES;2
71;1;1104;37023;44115;;34;ES;1
71;2;933;84986;86023;;26;ES;3
71;3;803;29677;85838;57891;26;ES;3
71;OT1;283;86349;33115;;34;ES;4
72;1;427;169476;165214;;16;ES;2
72;2;78;129;84952;85790;14;PP;3
72;2;150;20246;57581;120;14;ES;3
72;2;353;31424;75265;31432;16;ES;2
72;2;670;59667;35327;147297;14;PP;3
72;3;89;129;708;;14;ES;2
72;3;1096;31432;20760;148519;16;ES;3
73;2;110;564;20694;;33;PP;1
73;2;502;20694;75274;564;33;PP;2
73;2;618;20694;564;38305;33;ES;3
73;2;656;17910;79119;85136;33;SH;3
73;3;370;564;12640;59218;33;PP;3
73;3;443;56199;46510;78804;11;ES;4
74;1;564;59176;82401;20265;24;ES;3
74;2;490;169728;168391;67718;24;ES;1
74;2;1010;59176;74731;82401;24;ES;2
74;3;301;84963;6508;;24;ES;1
74;3;423;38265;61262;78570;24;ES;2
74;3;518;20265;168391;82401;24;ES;4
74;3;602;91644;165314;3177;35;ES;4
74;3;770;77083;3177;91644;35;ES;3
74;3;948;79028;77079;62300;35;ES;3
75;1;34;65061;38057;36804;8;ES;4
76;1;721;78619;57224;173556;18;ES;3
76;2;180;57224;78619;;18;ES;1
76;2;546;85447;85119;78466;18;PP;4
76;2;624;57589;177176;79025;18;ES;1
76;2;853;78619;173556;57224;18;ES;1
76;3;560;164558;85447;81682;18;ES;4
76;3;676;57588;47116;151611;32;PP;3
76;3;1133;47116;15810;;32;ES;4
77;2;399;74740;62280;;4182;ES;3
77;2;440;152506;43726;32965;21;ES;4
77;2;1112;146358;84965;57175;21;ES;3
78;1;344;31467;79273;170537;27;ES;4
78;1;832;20818;84964;170537;27;ES;4
78;2;1009;87153;173390;84964;27;PP;2
78;3;150;13921;173390;47111;27;SH;1
78;3;1166;79273;33157;47111;27;SH;4
79;1;26;18911;86340;36145;30;ES;4
79;1;226;44163;91729;85789;5;PP;1
