PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
139865;437;437;21;1261;9;11;1;768;713;55;2.62;3;.928;78
141419;569;569;15;727;3;8;1;413;368;45;3.71;0;.891;61
141496;1876;1876;29;1698;10;17;0;1039;942;97;3.43;0;.907;70
141530;449;449;8;402;3;3;1;245;223;22;3.28;0;.910;64
141978;64;64;20;1103;4;14;1;699;621;78;4.24;0;.888;64
141998;35;35;6;296;2;3;0;175;158;17;3.44;0;.903;67
142492;48;48;17;1024;7;9;1;565;511;54;3.16;1;.904;71
142583;890;890;25;1458;9;14;2;792;709;83;3.42;0;.895;64
142648;769;769;22;1300;14;5;2;583;535;48;2.21;6;.918;72
142810;497;497;38;2299;16;18;4;1199;1106;93;2.43;6;.922;74
142911;883;883;24;1448;12;11;1;829;766;63;2.61;0;.924;73
142929;1872;1872;4;187;3;0;0;101;96;5;1.60;0;.950;78
143036;1871;1871;36;2185;21;10;5;874;794;80;2.20;4;.908;68
143063;1861;1861;19;1078;4;12;0;716;655;61;3.39;2;.915;71
143100;611;611;27;1564;18;9;0;874;805;69;2.65;4;.921;75
143156;21;21;20;1179;11;7;1;635;583;52;2.65;2;.918;73
143191;516;516;22;1294;14;4;3;594;550;44;2.04;0;.926;71
143256;520;520;25;1455;15;9;1;813;746;67;2.76;2;.918;72
143301;39;39;31;1856;16;13;2;894;813;81;2.62;2;.909;68
143330;515;515;36;2101;25;10;0;951;872;79;2.26;4;.917;71
143412;1429;1429;25;1392;11;10;2;758;677;81;3.49;0;.893;65
143473;22;22;36;2174;30;3;2;720;654;66;1.82;6;.908;67
143479;1854;1854;9;500;5;1;2;242;223;19;2.28;0;.921;70
143507;3922;3922;25;1476;11;13;0;753;682;71;2.89;2;.906;68
143523;518;518;35;1998;9;23;1;1234;1110;124;3.72;1;.900;68
143749;4838;4838;44;2721;28;11;5;1473;1368;105;2.32;6;.929;78
143829;577;577;12;716;6;6;0;387;363;24;2.01;3;.938;80
