TeamId;LeagueId;Name;Nickname;Abbr;Parent Team 1;Parent Team 2;Parent Team 3;Parent Team 4;Parent Team 5;Parent Team 6;Parent Team 7;Parent Team 8;Primary Color;Secondary Color;Text Color;Conference Id;Division Id
4428;225;HK Slavija Junior;U15;SLA15;820;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;-1
4429;225;HK Triglav Kranj;U15;KLA15;821;-1;-1;-1;-1;-1;-1;-1;#0080ff;#ff0000;#fefef4;-1;-1
4430;226;HK SŽ Olimpija;U17;OLL17;4535;-1;-1;-1;-1;-1;-1;-1;#01df01;#000000;#fefef4;-1;-1
4431;226;HDD Jesenice;U17;JES17;475;-1;-1;-1;-1;-1;-1;-1;#ec1b22;#000000;#fefef4;-1;-1
4432;226;HKMK Bled;U17;BLE17;-1;-1;-1;-1;-1;-1;-1;-1;#0000ff;#ff0000;#fefef4;-1;-1
4433;226;HK Celje;U17;CEL17;2301;-1;-1;-1;-1;-1;-1;-1;#ffff00;#013adf;#013adf;-1;-1
4434;226;HDK Maribor;U17;MAR17;816;-1;-1;-1;-1;-1;-1;-1;#000000;#df7401;#fefef4;-1;-1
4435;226;HK Slavija Junior;U17;SLA17;820;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;-1
4436;226;HK Triglav Kranj;U17;KLA17;821;-1;-1;-1;-1;-1;-1;-1;#0080ff;#ff0000;#fefef4;-1;-1
4437;155;Team Poland;U16;POL16;-1;-1;-1;-1;-1;-1;-1;-1;#ff0000;#ff0000;#fefef4;-1;-1
4438;18;Team Croatia Select;;TCS;-1;-1;-1;-1;-1;-1;-1;-1;#eb0000;#eb0000;#fefef4;-1;-1
4439;138;Kyushu University;;HYU;3406;-1;-1;-1;-1;-1;-1;-1;#86033c;#86033c;#fefef4;-1;-1
4440;138;University of the Ryukyus;;URY;3114;-1;-1;-1;-1;-1;-1;-1;#000000;#d0ad69;#fefef4;-1;-1
4441;240;Real Torino;U19;RT19;-1;-1;-1;-1;-1;-1;-1;-1;#002b56;#b8121c;#fefef4;-1;-1
4443;64;HKM Rimavska Sobota;;RIM;-1;-1;-1;-1;-1;-1;-1;-1;#e3263a;#000000;#fefef4;-1;-1
4444;49;HDD Jesenice;U19;JES19;475;4064;-1;-1;-1;-1;-1;-1;#ec1b22;#000000;#fefef4;-1;-1
4445;49;HK Bled;U19;BLE;-1;-1;-1;-1;-1;-1;-1;-1;#0000ff;#ff0000;#fefef4;-1;-1
4446;49;HK Celje;U19;CEL19;2301;-1;-1;-1;-1;-1;-1;-1;#ffff00;#013adf;#013adf;-1;-1
4447;49;HDK Maribor;U19;MAR19;816;-1;-1;-1;-1;-1;-1;-1;#000000;#df7401;#fefef4;-1;-1
4448;49;HK Slavija Junior;U19;SLA19;820;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;-1
4449;49;HK Triglav Kranj;U19;KLA19;821;-1;-1;-1;-1;-1;-1;-1;#0080ff;#ff0000;#fefef4;-1;-1
4450;157;HC Orli Znojmo;U14;ZNO;479;-1;-1;-1;-1;-1;-1;-1;#ff0000;#000000;#fefef4;-1;-1
4451;156;HC Orli Znojmo;U15;ZNO;479;-1;-1;-1;-1;-1;-1;-1;#ff0000;#000000;#fefef4;-1;-1
4452;155;HC Orli Znojmo;U17;ZNO;479;-1;-1;-1;-1;-1;-1;-1;#ff0000;#000000;#fefef4;-1;-1
4453;180;HC Nové Zámky;U14;NZA;2182;-1;-1;-1;-1;-1;-1;-1;#01953f;#01953f;#fefef4;-1;-1
4454;179;HC Nové Zámky;U16;NZA;2182;-1;-1;-1;-1;-1;-1;-1;#01953f;#01953f;#fefef4;-1;-1
4455;178;HC Nové Zámky;U18;NZA;2182;-1;-1;-1;-1;-1;-1;-1;#01953f;#01953f;#fefef4;-1;-1
4456;65;HC Nové Zámky;U20;NZA;2182;-1;-1;-1;-1;-1;-1;-1;#01953f;#01953f;#fefef4;-1;-1
4457;65;HK Vitar Martin;U20;MAR20;-1;-1;-1;-1;-1;-1;-1;-1;#0e4094;#0e4094;#fefef4;-1;-1
4458;229;JKH GKS Jastrzebie;U14;JAS;717;-1;-1;-1;-1;-1;-1;-1;#009846;#e12228;#fefef4;-1;-1
4459;229;Sokoly Torun;U14;TOR;721;-1;-1;-1;-1;-1;-1;-1;#042480;#f30000;#fefef4;-1;-1
4460;229;Unia Oswiecim;U14;OSW;719;-1;-1;-1;-1;-1;-1;-1;#0077bb;#c39747;#fefef4;-1;-1
