PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
31676;2025;419;46;3;0;1;2;0;0;0;0;0;56;0;2;0;0;7;0;1;2;2857;0;248;0;0
31676;2024;419;46;2;0;0;9;0;0;0;0;0;49;0;1;0;0;11;0;0;1;1716;90;173;0;0
31676;2023;419;46;2;0;0;0;1;0;0;0;0;52;0;1;0;0;2;0;0;3;2062;134;193;0;0
31751;2025;427;46;3;0;0;0;0;0;0;0;0;54;0;6;1;1;2;1;1;0;1465;231;0;0;0
31751;2024;427;46;3;0;1;12;1;0;0;0;0;56;0;2;3;0;2;0;0;2;1918;309;25;0;0
31751;2023;427;46;4;1;2;0;2;0;0;0;0;62;0;5;3;1;1;1;1;3;2658;46;35;0;0
31901;2026;423;46;4;1;0;0;3;0;0;0;0;71;1;8;0;0;7;1;5;9;4383;88;583;0;0
31901;2025;423;46;3;0;1;0;-3;0;0;0;0;61;0;3;0;0;2;2;1;6;3130;48;317;0;0
31901;2024;423;46;4;0;0;12;-4;0;0;0;0;60;0;2;0;0;4;0;3;9;3390;160;905;0;0
31901;2023;423;46;3;0;0;2;-4;0;0;0;0;68;0;5;0;0;2;2;0;3;3447;122;311;0;0
31906;2025;417;46;2;1;1;0;2;0;0;0;0;60;0;4;4;2;2;0;0;0;1663;0;137;0;0
31906;2024;417;46;4;2;1;2;3;0;0;1;0;56;1;6;2;1;2;5;0;3;2948;0;827;0;0
31906;2023;417;46;4;2;2;12;3;0;0;0;0;71;1;12;3;1;4;1;3;0;3183;278;252;0;0
31925;2025;421;46;1;0;0;0;0;0;0;0;0;52;0;2;0;0;0;0;0;0;474;0;1;0;0
31925;2024;421;46;3;0;1;5;0;0;0;0;0;55;0;5;1;0;1;0;0;1;1847;0;0;1;0
31925;2023;421;46;4;0;1;2;2;0;0;0;0;56;0;2;4;4;4;1;0;1;1682;0;154;0;0
32077;2026;622;16;7;1;1;4;3;0;0;0;0;57;0;13;12;5;7;2;1;4;5884;0;341;0;0
32077;2025;622;16;6;0;0;2;-5;0;0;0;0;55;0;7;10;5;7;1;0;1;5484;0;387;0;0
32077;2024;622;16;7;0;4;4;1;0;0;0;0;69;0;5;14;3;10;2;7;12;6641;156;717;0;0
32077;2023;481;22;7;1;5;16;-1;1;2;0;0;67;0;13;11;4;12;5;2;2;5147;989;811;0;0
